申论题ID,年份,考试类型,地区/系统,卷别/类别,题号,子题号,题型一级,题型二级,题干_V3可用版,作答要求_V3可用版,材料范围,分值,字数要求,主题标签,关联材料编号,来源文件,V3置信度,V3清洗动作,V3问题标记
SL-00367,2013,省考,山东,通用卷,1,2,综合分析,解释评价/启示分析,"“结合资料6”提到国外旅游景区运营管理的一些做法。请简要分析这些做法对我们的
启示。（20分）",分析到位，言简意赅，具有针对性；不超过400字。,6,20,不超过400字,文化教育,山东-2013-未知-M40；山东-2013-未知-M5；山东-2013-未知-M6；山东-2013-未知-M2；山东-2013-未知-M4；山东-2013-未知-M3；山东-2013-未知-M8；山东-2013-未知-M7,2013年山东公务员考试《申论》真题（B卷）及答案.pdf,高,通过强清洗，可进入候选池,
SL-00368,2013,省考,山东,通用卷,1,3,提出对策,对策措施,"假设你是南京市政府相关管理部门的工作人员，请结合“给定材料3”和“给定材料5”，
起草一份上报市政府的文件，就如何学习借鉴“西湖模式”的成功经验，提出促进南京大旅游产
业进一步发展的思路和措施。（25分）",格式规范，思路清晰，措施得当，结构完整；不超过600字。,3；5,25,不超过600字,文化教育,山东-2013-未知-M40；山东-2013-未知-M5；山东-2013-未知-M6；山东-2013-未知-M2；山东-2013-未知-M4；山东-2013-未知-M3；山东-2013-未知-M8；山东-2013-未知-M7,2013年山东公务员考试《申论》真题（B卷）及答案.pdf,高,通过强清洗，可进入候选池,
SL-00369,2013,省考,山东,通用卷,1,4,文章写作,大作文/议论文,"请结合对全部“给定材料”的理解与思考，以《谈“算帐”》为题，写一篇文章。（40
分）",观点鲜明，内容充实，结构完整，语言流畅；900字左右。,,40,900字左右,,山东-2013-未知-M40；山东-2013-未知-M5；山东-2013-未知-M6；山东-2013-未知-M2；山东-2013-未知-M4；山东-2013-未知-M3；山东-2013-未知-M8；山东-2013-未知-M7,2013年山东公务员考试《申论》真题（B卷）及答案.pdf,高,通过强清洗，可进入候选池,
SL-00370,2013,省考,山东,通用卷,1,1.1,归纳概括,概括要点,简要概括当前我国资源型城市经济社会发展面临的主要问题。(10分),概括准确，简明扼要；不超过200字。,,20,不超过200字,城市治理；经济发展,山东-2013-未知-M40；山东-2013-未知-M5；山东-2013-未知-M6；山东-2013-未知-M2；山东-2013-未知-M4；山东-2013-未知-M3；山东-2013-未知-M8；山东-2013-未知-M7,2013年山东公务员考试《申论》真题（C卷）及答案.pdf,高,通过强清洗，可进入候选池,
SL-00372,2013,省考,山东,通用卷,1,2,综合分析,解释评价/启示分析,"“给定材料8”提到了德国鲁尔区经济转型的成功案例。请简要分析说明这个案例对于
促进我国资源型城市经济社会发展提供了哪些有益的启示。(15分)",观点明确，言简意赅，具有针对性；不超过300字。,8,15,不超过300字,城市治理；经济发展,山东-2013-未知-M40；山东-2013-未知-M5；山东-2013-未知-M6；山东-2013-未知-M2；山东-2013-未知-M4；山东-2013-未知-M3；山东-2013-未知-M8；山东-2013-未知-M7,2013年山东公务员考试《申论》真题（C卷）及答案.pdf,高,通过强清洗，可进入候选池,
SL-00373,2013,省考,山东,通用卷,1,3,提出对策,对策措施,"“给定材料7”提到B市经济转型发展过程中重视解决民生问题。请你以B市政府的名
义起草一份文件，向省政府汇报本市经济转型发展过程中切实解决民生问题的做法和经验。(25
分)",格式规范，概述准确，切合题意，结构清晰；不超过600字。,7,25,不超过600字,经济发展,山东-2013-未知-M40；山东-2013-未知-M5；山东-2013-未知-M6；山东-2013-未知-M2；山东-2013-未知-M4；山东-2013-未知-M3；山东-2013-未知-M8；山东-2013-未知-M7,2013年山东公务员考试《申论》真题（C卷）及答案.pdf,高,通过强清洗，可进入候选池,
SL-00374,2013,省考,山东,通用卷,1,4,文章写作,大作文/议论文,"请结合对全部“给定材料”的理解与思考，围绕“资源型城市”的转型发展问题，以《谈
“发展”》为题，写一篇文章。(40分)",观点鲜明，内容充实，结构完整，语言流畅，900字左右。,,40,900字左右,城市治理,山东-2013-未知-M40；山东-2013-未知-M5；山东-2013-未知-M6；山东-2013-未知-M2；山东-2013-未知-M4；山东-2013-未知-M3；山东-2013-未知-M8；山东-2013-未知-M7,2013年山东公务员考试《申论》真题（C卷）及答案.pdf,高,通过强清洗，可进入候选池,
SL-00375,2014,省考,山东,通用卷,1,.1,提出对策,对策措施,"因航班延误纠纷引发的群体性事件，破坏机场正常秩序，威胁民用航空安全，已演
变成为一个社会问题，假如你是一名行政执法人员，请结合给定材料就这一现状提出解决
对策。(20分)",分析准确，内容全面，条理清晰;不超过300字。,5，；3,15,不超过200字,法治政府,山东-2014-未知-M5；山东-2014-未知-M3；山东-2014-未知-M1；山东-2014-未知-M6；山东-2014-未知-M4,2014年山东公务员考试《申论》真题（A卷）及答案.pdf,高,通过强清洗，可进入候选池,
SL-00376,2014,省考,山东,通用卷,1,.2,归纳概括,概括要点,"针对“给定材料3”中K机场在延误事件中所说的各种问题，机场有关部门打算面向
乘客播报一篇广播稿，请代为拟稿。(25分)",内容全面，条理清晰，针对性强;不超过500字。,5，；3,15,不超过200字,法治政府,山东-2014-未知-M5；山东-2014-未知-M3；山东-2014-未知-M1；山东-2014-未知-M6；山东-2014-未知-M4,2014年山东公务员考试《申论》真题（A卷）及答案.pdf,高,通过强清洗，可进入候选池,
SL-00377,2014,省考,山东,通用卷,1,.3,文章写作,大作文/议论文,"航班延误造成旅客、航空、机场等多方“委屈”的现象，请结合对全部给定材料的
理解与思考以《“委屈”的背后》为题，自选角度，写一篇文章。(40分)","(1)观点明确，联系实际;
(2)内容充实，论述深刻;
(3)结构完整，语言流畅;
(4)1000~1200字。",5，；3,15,不超过200字,法治政府,山东-2014-未知-M5；山东-2014-未知-M3；山东-2014-未知-M1；山东-2014-未知-M6；山东-2014-未知-M4,2014年山东公务员考试《申论》真题（A卷）及答案.pdf,高,通过强清洗，可进入候选池,
SL-00395,2018,省考,山东,通用卷,1,,综合分析,解释评价/启示分析,"根据“给定材料2-4”，概括当前我国电动汽车充电桩在使用和运营过程中存在的主要问题。
（15分）","全面、准确、有条理，不超过250个字。
问题二、根据“给定材料5-6”，分析电动汽车销售模式的变化及其给电动汽车市场带来的影响。（20
分）
要求：内容全面、分析透彻、条理清晰，不超过300字。",2-4；5-6；7-8,15,不超过300字,文化教育；经济发展,山东-2018-未知-M2；山东-2018-未知-M5；山东-2018-未知-M7；山东-2018-未知-M8；山东-2018-未知-M6；山东-2018-未知-M1；山东-2018-未知-M3；山东-2018-未知-M4,2018年421联考《申论》真题（山东A卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00396,2018,省考,山东,通用卷,1,,归纳概括,概括要点,根据“给定材料2-5”，概括当前我国企业在“走出去”中遇到的主要问题。（15分）,全面，准确，有条理，不超过200字。,2-5；6；7,15,不超过200字,,山东-2018-未知-M2；山东-2018-未知-M5；山东-2018-未知-M7；山东-2018-未知-M8；山东-2018-未知-M6；山东-2018-未知-M1；山东-2018-未知-M3；山东-2018-未知-M4,2018年421联考《申论》真题（山东B卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00399,2019,省考,山东,通用卷,1,1,归纳概括,概括要点,根据“给定材料1”，概括《电子商务法》带来的影响。(15分),全面、准确、有条理；不超过250字。,1,15,不超过250字,,山东-2019-未知-M1；山东-2019-未知-M2；山东-2019-未知-M3；山东-2019-未知-M5；山东-2019-未知-M4,2019年420联考《申论》真题（山东卷A卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00400,2019,省考,山东,通用卷,1,2,综合分析,解释评价/启示分析,根据“给定材料2”，谈谈你对“政策上的善意”的理解。（20分）,理解准确，分析透彻，条理清晰；不超过300字。,2,20,不超过300字,,山东-2019-未知-M1；山东-2019-未知-M2；山东-2019-未知-M3；山东-2019-未知-M5；山东-2019-未知-M4,2019年420联考《申论》真题（山东卷A卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00401,2019,省考,山东,通用卷,1,3,提出对策,对策措施,"根据“给定材料3”，针对《G市医疗机构“不满意就退费”工作实施方案（试行)》的具体内容及
社会上的相关争议，请向G市卫生部门提出你对此方案的意见和建议。（25分）",观点明确，思路清晰，概括性强，合理可行；不超过400字。,3,25,不超过400字,公共服务,山东-2019-未知-M1；山东-2019-未知-M2；山东-2019-未知-M3；山东-2019-未知-M5；山东-2019-未知-M4,2019年420联考《申论》真题（山东卷A卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00402,2019,省考,山东,通用卷,1,4,文章写作,大作文/议论文,"进一步思考“给定材料5”中划线句子“有事好商量，众人的事情由众人商量，找到全社会意愿和要
求的最大公约数”，参考给定材料，自选角度，自拟题目，写一篇文章。（40分）","（1）观点明确，立意深刻；
（2）思路清晰，语言流畅；
（3）结合“给定材料”，但不拘泥于“给定材料”；
（4）字数1000～1200字。
2019 年 420 联考《申论》真题（山东 A 卷）",5；，,40,1000～1200字,,山东-2019-未知-M1；山东-2019-未知-M2；山东-2019-未知-M3；山东-2019-未知-M5；山东-2019-未知-M4,2019年420联考《申论》真题（山东卷A卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00403,2019,省考,山东,通用卷,1,1,归纳概括,概括要点,根据“给定材料1”，概括总结J市12345热线的成功经验。（15分）,概括全面，思路清晰，表达准确；不超过250字。,1,15,不超过250字,,山东-2019-未知-M1；山东-2019-未知-M2；山东-2019-未知-M3；山东-2019-未知-M5；山东-2019-未知-M4,2019年420联考《申论》真题（山东卷B卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00404,2019,省考,山东,通用卷,1,2,综合分析,解释评价/启示分析,根据“给定材料2”，分析C市目前幼儿教育发展的主要问题。（20分）,分析全面、准确，条理清晰；不超过300字。,2,20,不超过300字,公共服务；文化教育,山东-2019-未知-M1；山东-2019-未知-M2；山东-2019-未知-M3；山东-2019-未知-M5；山东-2019-未知-M4,2019年420联考《申论》真题（山东卷B卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00405,2019,省考,山东,通用卷,1,3,综合分析,解释评价/启示分析,根据“给定材料4”，谈一下你对棚户区改造“A市速度”的理解。（25分）,紧扣材料，全面准确，条理清晰；不超过400字。,4；，,25,不超过400字,,山东-2019-未知-M1；山东-2019-未知-M2；山东-2019-未知-M3；山东-2019-未知-M5；山东-2019-未知-M4,2019年420联考《申论》真题（山东卷B卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00406,2019,省考,山东,通用卷,1,4,文章写作,大作文/议论文,"参考给定材料，以“‘民生’跟着‘民声’走”为主题，自选角度，自拟题目，写一篇文章。（40
分)","（1）观点明确，立意深刻；
（2）思路清晰，语言流畅；
（3）参考“给定材料”，但不拘泥于“给定材料”；
（4）总字数1000～1200字。
2019 年 420 联考《申论》真题（山东 B 卷）",，,40,1000～1200字,,山东-2019-未知-M1；山东-2019-未知-M2；山东-2019-未知-M3；山东-2019-未知-M5；山东-2019-未知-M4,2019年420联考《申论》真题（山东卷B卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00407,2020,省考,山东,通用卷,1,1,综合分析,解释评价/启示分析,请根据“给定材料1”，谈谈你对B市“一枚印章管审批”的认识。(20分),观点明确，认识深刻，思路清晰；不超过350字。。,1,20,不超过350字,,山东-2020-未知-M1；山东-2020-未知-M2；山东-2020-未知-M3；山东-2020-未知-M4,2020年0719山东公务员考试《申论》真题（A卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00408,2020,省考,山东,通用卷,1,2,贯彻执行,应用文/事务文书,"省政府对乙市设立“找茬窗口”等举措高度重视，要求该市提交一份工作报告。请根据“给定材料2”，
写一份报告提纲。(30分)",要点完整，内容具体，条理清晰；不超过450字。,2,30,不超过450字,,山东-2020-未知-M1；山东-2020-未知-M2；山东-2020-未知-M3；山东-2020-未知-M4,2020年0719山东公务员考试《申论》真题（A卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00409,2020,省考,山东,通用卷,1,3,文章写作,大作文/议论文,"请根据“给定材料3”，以“流程·服务·效能”为主题，自选角度，自拟题目，写一篇文章。(50
分)","1.观点明确，立意深刻；2.思路清晰，语言流畅；3.参考给定材料，但不拘泥于给定材料；4.字数
1000字左右。
2020 年 719 山东公务员考试《申论》真题（A 卷）",3；，,50,1000字左右,,山东-2020-未知-M1；山东-2020-未知-M2；山东-2020-未知-M3；山东-2020-未知-M4,2020年0719山东公务员考试《申论》真题（A卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00410,2020,省考,山东,通用卷,1,1,综合分析,解释评价/启示分析,"请根据“给定材料2”,谈你对Q县干部直播带货的认识。(20分)",观点明确，分析全面，条理清晰；不超过350字。,2,20,不超过350字,,山东-2020-未知-M1；山东-2020-未知-M2；山东-2020-未知-M3；山东-2020-未知-M4,2020年0719山东公务员考试《申论》真题（B卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00411,2020,省考,山东,通用卷,1,2,文章写作,大作文/议论文,假如你是小王，请根据“给定材料3”，就所调研区域的经验做法写一篇调研报告提纲。(30分),概括全面，思路清晰，表达准确；不超过450字。,3,30,不超过450字,,山东-2020-未知-M1；山东-2020-未知-M2；山东-2020-未知-M3；山东-2020-未知-M4,2020年0719山东公务员考试《申论》真题（B卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00412,2020,省考,山东,通用卷,1,3,文章写作,大作文/议论文,"请结合全部给定材料，进一步思考“给定材料4""中的画线句子“凡益之道，与时偕行”，自选角度，
自拟题目，写一篇文章。(50分)","1.主题明确，结构完整，条理清楚，语言流畅；2.参考给定材料，但不拘泥于给定材料；3.字数
1000字左右。
2020 年 719 山东公务员考试《申论》真题（B 卷）",，；4；，,50,1000字左右,,山东-2020-未知-M1；山东-2020-未知-M2；山东-2020-未知-M3；山东-2020-未知-M4,2020年0719山东公务员考试《申论》真题（B卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00413,2024,省考,山东,通用卷,1,1,贯彻执行,应用文/事务文书,"“给定材料 4”为新闻媒体拟发表的⼀篇报道，请撰写⼀篇同时配发的短评。（25
分）",观点鲜明，思想深刻，逻辑清晰；不超过 400 字。,4,25,不超过400字,,山东-2024-未知-M1；山东-2024-未知-M2；山东-2024-未知-M3；山东-2024-未知-M4；山东-2024-未知-M5；山东-2024-未知-M6,2024年山东省公考《申论》真题（A类）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00414,2024,省考,山东,通用卷,1,2,文章写作,大作文/议论文,"请以“给定材料 6”中的划线句⼦“众⼒并，则万钧举”为主题，结合全部给定资
料，⾃拟题⽬，写⼀篇⽂章。（40 分）","1.观点明确，⻅解深刻；2.参考给定材料，但不拘泥于给定材料；3.逻辑清晰，
语⾔流畅；4.字数 1000—1200 字。",6；，,40,1000—1200字,,山东-2024-未知-M1；山东-2024-未知-M2；山东-2024-未知-M3；山东-2024-未知-M4；山东-2024-未知-M5；山东-2024-未知-M6,2024年山东省公考《申论》真题（A类）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00424,2013,省考,上海,通用卷,1,1,归纳概括,概括要点,请概括“给定材料6-9”的主要同容。（10分）,语言精炼，层次要点清楚，字数不超过200字。,6-9,10,不超过200字,,上海-2013-未知-M6；上海-2013-未知-M4；上海-2013-未知-M1,2013年上海公务员考试《申论》真题（A卷）及参考答案.doc.pdf,高,通过强清洗，可进入候选池,
SL-00425,2013,省考,上海,通用卷,1,2,综合分析,解释评价/启示分析,"请结合“给定材料”，谈谈曹植云、陈家顺同志的先进事迹在哪些方面值得我们学习。（15
分）",观点明确，语言精炼，条理清楚，字数不超过300字。,,15,不超过300字,,上海-2013-未知-M6；上海-2013-未知-M4；上海-2013-未知-M1,2013年上海公务员考试《申论》真题（A卷）及参考答案.doc.pdf,高,通过强清洗，可进入候选池,
SL-00426,2013,省考,上海,通用卷,1,3.1,归纳概括,概括要点,简要概括“资料4”中提到的公务员责任意识缺失的几种表现。（10分）,准确，简明，字数不超过200字。,4,25,不超过200字,,上海-2013-未知-M6；上海-2013-未知-M4；上海-2013-未知-M1,2013年上海公务员考试《申论》真题（A卷）及参考答案.doc.pdf,高,通过强清洗，可进入候选池,
SL-00427,2013,省考,上海,通用卷,1,3.2,综合分析,解释评价/启示分析,分析引发云南“孟连事件”的根本原因，以及给我们的教训。（15分）,分析条理清楚，观点明确，字数不超过300字。,4,25,不超过200字,,上海-2013-未知-M6；上海-2013-未知-M4；上海-2013-未知-M1,2013年上海公务员考试《申论》真题（A卷）及参考答案.doc.pdf,高,通过强清洗，可进入候选池,
SL-00428,2013,省考,上海,通用卷,1,4,归纳概括,概括要点,请结合“给定材料”，概括当前我国行政问责制实施中存在的主要问题。（10分）,准确，简明，条理清楚。字数不超过200字,,10,不超过200字,法治政府,上海-2013-未知-M6；上海-2013-未知-M4；上海-2013-未知-M1,2013年上海公务员考试《申论》真题（A卷）及参考答案.doc.pdf,高,通过强清洗，可进入候选池,
SL-00429,2013,省考,上海,通用卷,1,5,文章写作,大作文/议论文,阅读“给定材料”，以“强化公务员责任意识”为主题写一篇议论文。（40分）,"1、参考给定材料，自选角度，自拟题目。
2、观点明确，联系实际，分析具体，条理清楚，语言流畅。
3、总字数800—1000字。",，,40,800—1000字,,上海-2013-未知-M6；上海-2013-未知-M4；上海-2013-未知-M1,2013年上海公务员考试《申论》真题（A卷）及参考答案.doc.pdf,高,通过强清洗，可进入候选池,
SL-00435,2014,省考,上海,通用卷,1,3,申论综合,待细分,结合给定材料，谈谈政府在转变职能进程中应履行好哪些职责。(10分),准确，简明，条理清楚。字数不超过200字。,，,10,不超过200字,,上海-2014-未知-M40；上海-2014-未知-M2；上海-2014-未知-M7；上海-2014-未知-M1,2014年上海公务员考试《申论》真题（A卷）及参考答案.doc.pdf,高,通过强清洗，可进入候选池,
SL-00446,2015,省考,上海,通用卷,1,,归纳概括,概括要点,概括给定材料的主要内容。,语言精炼，层次要点清楚，字数不超过200字。,,,不超过200字,,上海-2015-未知-M40；上海-2015-未知-M2；上海-2015-未知-M6,2015年上海公务员考试《申论》真题（B卷）及参考答案.doc.pdf,高,通过强清洗，可进入候选池,
SL-00447,2015,省考,上海,通用卷,2,,申论综合,待细分,结合给定材料，简要论述”沪语“保护和传承的必要性。,表述准确到位，语言简明扼要，字数不超过300字。,，,,不超过300字,,上海-2015-未知-M40；上海-2015-未知-M2；上海-2015-未知-M6,2015年上海公务员考试《申论》真题（B卷）及参考答案.doc.pdf,高,通过强清洗，可进入候选池,
SL-00448,2015,省考,上海,通用卷,3,,综合分析,解释评价/启示分析,结合给定材料，分析上海提篮桥区域保护与发展过程中所遭遇的瓶颈问题。,准确简明，语言精炼，条理清楚，字数不超过300字。,，,,不超过300字,,上海-2015-未知-M40；上海-2015-未知-M2；上海-2015-未知-M6,2015年上海公务员考试《申论》真题（B卷）及参考答案.doc.pdf,高,通过强清洗，可进入候选池,
SL-00449,2015,省考,上海,通用卷,4,,综合分析,解释评价/启示分析,"结合给定材料，比较并说明新天地与田子坊地块改造模式的共性与差异，阐述如何进行旧城区的
改造与更新。（20分）",概括准确，条例清晰，观点明确，语言精炼，字数不超过350字。,，,20,不超过350字,,上海-2015-未知-M40；上海-2015-未知-M2；上海-2015-未知-M6,2015年上海公务员考试《申论》真题（B卷）及参考答案.doc.pdf,高,通过强清洗，可进入候选池,
SL-00450,2015,省考,上海,通用卷,5,,文章写作,大作文/议论文,阅读给定材料，以”城市文化的传承与创新“为主题写一篇文章。,"（1）自选角度，自拟题目； （2）观点明确，联系实际，分析具体，条理清楚，语言流畅； （3）
总字数800-1000字。",，,1,800-1000字,科技创新；城市治理；文化教育,上海-2015-未知-M40；上海-2015-未知-M2；上海-2015-未知-M6,2015年上海公务员考试《申论》真题（B卷）及参考答案.doc.pdf,高,通过强清洗，可进入候选池,
SL-00451,2015,省考,上海,通用卷,6,,归纳概括,概括要点,概括给定材料的主要内容。,语言精炼，层次要点清楚，字数不超过200字。,,,不超过200字,,上海-2015-未知-M40；上海-2015-未知-M2；上海-2015-未知-M6,2015年上海公务员考试《申论》真题（B卷）及参考答案.doc.pdf,高,通过强清洗，可进入候选池,
SL-00452,2015,省考,上海,通用卷,7,,申论综合,待细分,结合给定材料，简要论述”沪语“保护和传承的必要性。,表述准确到位，语言简明扼要，字数不超过300字。,，,,不超过300字,,上海-2015-未知-M40；上海-2015-未知-M2；上海-2015-未知-M6,2015年上海公务员考试《申论》真题（B卷）及参考答案.doc.pdf,高,通过强清洗，可进入候选池,
SL-00453,2015,省考,上海,通用卷,8,,综合分析,解释评价/启示分析,结合给定材料，分析上海提篮桥区域保护与发展过程中所遭遇的瓶颈问题。,准确简明，语言精炼，条理清楚，字数不超过300字。,，,,不超过300字,,上海-2015-未知-M40；上海-2015-未知-M2；上海-2015-未知-M6,2015年上海公务员考试《申论》真题（B卷）及参考答案.doc.pdf,高,通过强清洗，可进入候选池,
SL-00454,2015,省考,上海,通用卷,9,,综合分析,解释评价/启示分析,"结合给定材料，比较并说明新天地与田子坊地块改造模式的共性与差异，阐述如何进行旧城区的
改造与更新。（20分）",概括准确，条例清晰，观点明确，语言精炼，字数不超过350字。,，,20,不超过350字,,上海-2015-未知-M40；上海-2015-未知-M2；上海-2015-未知-M6,2015年上海公务员考试《申论》真题（B卷）及参考答案.doc.pdf,高,通过强清洗，可进入候选池,
SL-00457,2016,省考,上海,通用卷,1,,综合分析,解释评价/启示分析,"（一）结合给定材料，总结两个抗战遗址保护不力的案例中存在的共性问题，并简要分析原因。（20
分）",概括准确，条理清楚，语言精练，字数不超过200字。,，；，；，,20,不超过200字,,上海-2016-未知-M40；上海-2016-未知-M1；上海-2016-未知-M2；上海-2016-未知-M3；上海-2016-未知-M4；上海-2016-未知-M5；上海-2016-未知-M6；上海-2016-未知-M7,2016年上海公务员考试《申论》真题（B卷）及参考答案.doc.pdf,高,通过强清洗，可进入候选池,
SL-00460,2018,省考,上海,通用卷,1,.1,综合分析,解释评价/启示分析,结合给定材料，分析目前社会上一些年轻人存在的不良思想倾向。（20分）,观点明确，条理清楚，语言精练，字数不超过300字。,，；，；，,20,不超过300字,,上海-2018-未知-M40,2018年上海市公务员考试《申论》真题（A卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00461,2018,省考,上海,通用卷,1,.2,提出对策,对策措施,"资料中提到“靡不有初，鲜克有终”，结合给定材料，请对公职人员如何做到不忘初心，有始有终，
提出对策。（20分）",观点明确，条理清楚，语言流畅，对策可行，字数不超过300字。,，；，；，,20,不超过300字,,上海-2018-未知-M40,2018年上海市公务员考试《申论》真题（A卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00462,2018,省考,上海,通用卷,1,.3,文章写作,大作文/议论文,结合给定材料，以“坚持信念，传承精神，开拓事业”为主题，写一篇文章。（40分）,"（1）自选角度，自拟题目；（2）观点明确，联系实际，分析具体，条理清楚，语言流畅；（3）
总字数800—1000字。",，；，；，,20,不超过300字,,上海-2018-未知-M40,2018年上海市公务员考试《申论》真题（A卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00474,2019,省考,上海,通用卷,1,,归纳概括,概括要点,"问题1
结合给定材料，概述张江国家自主创新示范区近年来取得的成功经验。（20分）",概括准确，条理清楚，语言精练，字数不超过300字,，；，；，,20,不超过300字,科技创新；城市治理；经济发展,,2019年上海公务员考试《申论》真题（A卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00479,2019,省考,上海,通用卷,1,,归纳概括,概括要点,"问题1：结合给定材料，阐述“上海文化”形成的过程中，红色文化，海派文化和江南文化之间的关系。
（20分）",概括准确，条理清楚，语言精练，字数不超过300字。,，；，；，,20,不超过300字,科技创新；城市治理；文化教育,,2019年上海公务员考试《申论》真题（B卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00484,2020,省考,上海,通用卷,1,,综合分析,解释评价/启示分析,"（一）根据给定材料，总结中国共产党能够团结带领全党全国各族人民，攻坚克难，从胜利走向胜利的
主要原因。（20分）",概括准确，条理清楚，语言精练，字数不超过300字。,，；，；，,20,不超过300字,基层治理；群众工作,,2020年上海公务员考试《申论》真题（A类）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00485,2020,省考,上海,通用卷,1,,归纳概括,概括要点,（一）结合给定材料，总结上海率先实现“一网通办”过程中所形成的可复制经验。（20分）,概括准确，条理清楚，语言精练，字数不超过300字。,，；，；，,20,不超过300字,科技创新；城市治理；经济发展,,2020年上海公务员考试《申论》真题（B类）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00493,2008,省考,新疆,通用卷,1,,综合分析,解释评价/启示分析,"第1题：假设你是一名政府机关公务员欧阳××，从2005年12月28日《××日报》上看到了给定
材料中的第4－8段内容的报道，请将4－8段材料中反映的所有问题概括总结，提交本部门领导审阅。","字数400字以内。
第2题：用400字以内的篇幅分析造成给定材料中（除第4－8段材料以外）所反映问题的主要原因。
第3题：根据你在",,,,,,2008年新疆自治区公务员考试《申论》真题及答案.pdf,高,通过强清洗，可进入候选池,
SL-00494,2008,省考,新疆,通用卷,2,,文章写作,大作文/议论文,"中作出的原因分析，从运用传统节日弘扬民族文化的优秀传统角度，自拟标
题，写一篇论述文章。","观点明确，重点突出；逻辑严密，结构完整；语言流畅，论述有力；提出的对策要具有可行性。
字数在1000－1200字之间。
2008 年新疆维吾尔自治区公务员考试
《申论》真题卷",,,1000－1200字,文化教育,,2008年新疆自治区公务员考试《申论》真题及答案.pdf,高,通过强清洗，可进入候选池,
SL-00495,2008,省考,新疆,通用卷,3,,文章写作,大作文/议论文,"中作出的原因分析，从运用传统节日弘扬民族文化的优秀传统角度，自拟标
题，写一篇论述文章。",,,,,文化教育,,2008年新疆自治区公务员考试《申论》真题及答案.pdf,高,通过强清洗，可进入候选池,截断后置答案/解析/范文
SL-00501,2011,省考,新疆,通用卷,1,,贯彻执行,应用文/事务文书,"（一）假定给定材料1~6是你在调查研究中获取的信息，请你依据这些资料归纳出一份情况
汇报提纲，以供领导参阅。（20分）",分条归纳，内容全面，表述准确，逻辑清晰；不超过400字。,1~6；7~9，；，,20,不超过400字,,新疆-2011-未知-M1；新疆-2011-未知-M7,2011年917公务员联考《申论》卷及参考答案（福建、河南、重庆、甘肃、新疆）.pdf,高,通过强清洗，可进入候选池,
SL-00504,2014,省考,新疆,通用卷,1,,文章写作,大作文/议论文,"请根据你对这段
文字的理解，联系当前社会现实，写一篇文章。（50分）","（1）自选角度，自拟题目；（2）观点明确，见解深刻（3）思路清晰，语言流畅总字数800~1000
字。
2014 年新疆生产建设兵团公务员考试《申论》真题卷",,50,800~1000字,,新疆-2014-未知-M1；新疆-2014-未知-M3；新疆-2014-未知-M5；新疆-2014-未知-M2；新疆-2014-未知-M7,2014年新疆生产建设兵团公务员考试《申论》真题及答案.pdf,高,通过强清洗，可进入候选池,
SL-00507,2014,省考,新疆,通用卷,1,3,文章写作,大作文/议论文,"在如此严峻的就业形势之下，我们要大力贯彻习近平主席对我们的期待，转变就业观念，坚持从
实际出发，摆正心态，勇于到一线和艰苦地方去，只有这样才能在认识的道路上一步步走稳走实，在平凡
的岗位上创造不平凡的业绩！
（四）结合给定材料1，他勉励当代大学生要转变择业观念，坚持从实际出发，勇于到基层一线和艰
苦地方去，把人生的路一步步走稳走实，善于在平凡的岗位上创作不平凡的业绩。以“位”来与未来为题
目，写一篇文章。",1、观点鲜明，分析深入；2、联系实际；3、条理清晰，语言简洁顺畅；4、字数800-1000字。,1，,,800-1000字,基层治理；公共服务,新疆-2014-未知-M1；新疆-2014-未知-M3；新疆-2014-未知-M5；新疆-2014-未知-M2；新疆-2014-未知-M7,2014年新疆自治区公务员考试《申论》真题及答案.pdf,高,通过强清洗，可进入候选池,
